公共类型,项目名称,所属行业,组织形式,开标时间,标书发售时间,公告内容,招标人地址,招标人联系人,招标人联系方式,招标代理机构,招标代理机构地址,招标代理机构联系人,招标代理机构联系方式,监督部门地址,监督部门联系人,监督部门联系方式,依据文件,依据文号,发布日期,发布网站,详情页链接,详情ID,全文文本,交易场所,列表发布日期
,黎城县高级中学配套附属用房建设项目施工,,,,,"黎城县高级中学配套附属用房建设项目施工
中标结果公示
黎城县高级中学配套附属用房建设项目施工，中标候选人公示期间无异议，现确定本项目的中标人如下：  一、
中标人信息
中标单位：山西建筑工程集团有限公司
中  标  价：
35617065.69
元
二、其他公示内容
无
三、监督部门
本招标项目的监督部门为黎城县城乡建设和交通运输局
联  系  人：王林中
电  话：
13934292796
电子邮件：
lczfbz5672675@163.com
四、联系方式
招  标  人：黎城县第一中学校
地  址：黎城县教育街
联  系  人：赵先生
联系电话：
13934292605
电子邮件：
13934292605@163.com  招标代理机构：山西泰利达招标代理有限公司
地  址：山西省长治市长治高新技术产业开发区科技工业园区长兴北路星海假日小区
3号楼4单元402室
联  系  人：张女士
电  话：
0355-3069365
电子邮件：
609233963@qq.com
招标人或其招标代理机构主要负责人（项目负责人）：  （签名）
招标人或其招标代理机构：  （
盖章）",黎城县教育街,,13934292605,,,,,,,,,,2026-06-22 10:00,长治市公共资源交易平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066578.jhtml,1066578,"黎城县高级中学配套附属用房建设项目施工
中标结果公示
黎城县高级中学配套附属用房建设项目施工，中标候选人公示期间无异议，现确定本项目的中标人如下：  一、
中标人信息
中标单位：山西建筑工程集团有限公司
中  标  价：
35617065.69
元
二、其他公示内容
无
三、监督部门
本招标项目的监督部门为黎城县城乡建设和交通运输局
联  系  人：王林中
电  话：
13934292796
电子邮件：
lczfbz5672675@163.com
四、联系方式
招  标  人：黎城县第一中学校
地  址：黎城县教育街
联  系  人：赵先生
联系电话：
13934292605
电子邮件：
13934292605@163.com  招标代理机构：山西泰利达招标代理有限公司
地  址：山西省长治市长治高新技术产业开发区科技工业园区长兴北路星海假日小区
3号楼4单元402室
联  系  人：张女士
电  话：
0355-3069365
电子邮件：
609233963@qq.com
招标人或其招标代理机构主要负责人（项目负责人）：  （签名）
招标人或其招标代理机构：  （
盖章）",,2026-06-22
,山西寅诚煤炭运销有限公司石城铁路专用线勘察设计二标段项目(1标段)中标结果公示,,,,,"山西寅诚煤炭运销有限公司石城铁路专用线勘察设计二标段项目(1标段)中标结果公示  （招标编号：E14090000G3001987001）  本山西寅诚煤炭运销有限公司石城铁路专用线勘察设计二标段（招标项目编号：E14090000G3001987001），确定001山西寅诚煤炭运销有限公司石城铁路专用线勘察设计二标段的中标人如下：  一、中标人信息  001山西寅诚煤炭运销有限公司石城铁路专用线勘察设计二标段：  中标人: 
山东涣泽工程设计有限公司;  中标价格:（ 投标总报价:1570000.00 元 ; ）  二、其他公示内容  无  三、监督部门  本招标项目的监督部门为忻州市交通运输局。  四、联系方式  招 标 人: 
山西寅诚煤炭运销有限公司  地 址: 
山西省忻州市河曲县西口镇黄河东大街 109 号  联 系 人: 
樊宇龙  电 话: 
18734151543  电子邮件: 
269556135@qq.com  招标代理机构: 
山西逸泷项目管理有限公司  地 址: 
山西综改示范区太原学府园区佳华街7号帅科大厦8层808室  联 系 人: 
张秀慧  电 话: 
15536839738  电子邮件: 
15536879738@163.com  招标人或招标代理机构主要负责人（项目负责人）: 
（签章）  招标人或招标代理机构: 
（签章）",山西省忻州市河曲县西口镇黄河东大街 109 号,樊宇龙,18734151543,山西逸泷项目管理有限公司,山西综改示范区太原学府园区佳华街7号帅科大厦8层808室,张秀慧,15536839738,,,,,,2026-06-22 09:50,忻州市公共资源交易平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066574.jhtml,1066574,"山西寅诚煤炭运销有限公司石城铁路专用线勘察设计二标段项目(1标段)中标结果公示  （招标编号：E14090000G3001987001）  本山西寅诚煤炭运销有限公司石城铁路专用线勘察设计二标段（招标项目编号：E14090000G3001987001），确定001山西寅诚煤炭运销有限公司石城铁路专用线勘察设计二标段的中标人如下：  一、中标人信息  001山西寅诚煤炭运销有限公司石城铁路专用线勘察设计二标段：  中标人: 
山东涣泽工程设计有限公司;  中标价格:（ 投标总报价:1570000.00 元 ; ）  二、其他公示内容  无  三、监督部门  本招标项目的监督部门为忻州市交通运输局。  四、联系方式  招 标 人: 
山西寅诚煤炭运销有限公司  地 址: 
山西省忻州市河曲县西口镇黄河东大街 109 号  联 系 人: 
樊宇龙  电 话: 
18734151543  电子邮件: 
269556135@qq.com  招标代理机构: 
山西逸泷项目管理有限公司  地 址: 
山西综改示范区太原学府园区佳华街7号帅科大厦8层808室  联 系 人: 
张秀慧  电 话: 
15536839738  电子邮件: 
15536879738@163.com  招标人或招标代理机构主要负责人（项目负责人）: 
（签章）  招标人或招标代理机构: 
（签章）",,2026-06-22
,百兆瓦级超级电容器电化学混合储能调频电站示范项目(金谷二期)中标结果公示,,,,,"百兆瓦级超级电容器电化学混合储能调频电站示范项目(金谷二期)中标结果公示
(项目编号:
WED2026-- 0146
)  本
百兆瓦级超级电容器电化学混合储能调频电站示范项目(金谷二期)
(招标项目编号:
D3201150734004620001
),确定
001不分标段
的中标人如下:
一、中标人信息:  001不分标段  中标人:
牵头人:上海能源建设工程设计研究有限公司
联合体成员一:上海能源建设集团有限公司
联合体成员二:山西兴电电力工程有限公司  中标价格:
184,410,666.11元
二、其他公示内容:  无
三、监督部门
监督部门:偏关县能源局
监督电话:0350-7653275
电子邮件:pgxnyj2023@126.com
四、联系方式
招  标  人:山西中电金谷储能科技有限公司
地  址:
山西省忻州市偏关县新关镇万府街农业综合大楼
联  系  人:
秦晓义
电  话:
0350-7655300
招标代理机构:沃尔德建设咨询集团有限公司  代理机构地址:
济南市高区舜风路101号齐鲁文化创意基地4号楼3楼东户
联  系  人:李经理  联系电话:0531-68655012
电子邮件:wedzx9008@126.com  招标人或其招标代理机构主要负责人(项目负责人):  (签名)  招标人或其招标代理机构:  (盖章)",山西省忻州市偏关县新关镇万府街农业综合大楼,秦晓义,0350-7655300,沃尔德建设咨询集团有限公司,济南市高区舜风路101号齐鲁文化创意基地4号楼3楼东户,,0531-68655012,,,0350-7653275,,,2026-06-22 09:50,山西省招标投标公共服务平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066573.jhtml,1066573,"百兆瓦级超级电容器电化学混合储能调频电站示范项目(金谷二期)中标结果公示
(项目编号:
WED2026-- 0146
)  本
百兆瓦级超级电容器电化学混合储能调频电站示范项目(金谷二期)
(招标项目编号:
D3201150734004620001
),确定
001不分标段
的中标人如下:
一、中标人信息:  001不分标段  中标人:
牵头人:上海能源建设工程设计研究有限公司
联合体成员一:上海能源建设集团有限公司
联合体成员二:山西兴电电力工程有限公司  中标价格:
184,410,666.11元
二、其他公示内容:  无
三、监督部门
监督部门:偏关县能源局
监督电话:0350-7653275
电子邮件:pgxnyj2023@126.com
四、联系方式
招  标  人:山西中电金谷储能科技有限公司
地  址:
山西省忻州市偏关县新关镇万府街农业综合大楼
联  系  人:
秦晓义
电  话:
0350-7655300
招标代理机构:沃尔德建设咨询集团有限公司  代理机构地址:
济南市高区舜风路101号齐鲁文化创意基地4号楼3楼东户
联  系  人:李经理  联系电话:0531-68655012
电子邮件:wedzx9008@126.com  招标人或其招标代理机构主要负责人(项目负责人):  (签名)  招标人或其招标代理机构:  (盖章)",,2026-06-22
,100MW/321MWh独立储能项目（EPC总承包）中标结果公示,,,,,"100MW/321MWh独立储能项目（EPC总承包）中标结果公示
（招标编号：QWSX2604002-GC）
本 100MW/321MWh独立储能项目（EPC总承包） （招标项目编号： M1100000048005455001 ），确定001第一标段的中标人如下：
一、中标人信息：
001第一标段：  中标人：陕西华山建设集团有限公司、联合体：元工电力技术有限公司、陕西建工集团股份有限公司  中标价格：40658.170000万元
二、其他公示内容：
无
三、监督部门
本招标项目的监督部门为：侯马市能源局
联系电话：13753513868
电子邮箱：lfshmsnyj@163.com
四、联系方式
招标人：临汾市智煜新能源有限公司
地  址：山西省临汾市侯马经济开发区新田路127号艺轩商务大厦(入驻临汾市侯马经济开发区艺轩企业孵化园有限公司-工位079号)
联 系 人：刘炜
联系电话：13934695003  招标代理机构：山西权威工程咨询管理有限公司
地  址：山西综改示范区太原唐槐园区唐槐路79号兰亭国际10层1002号
联  系  人：侯小霞、韩文琦、李丹丹
联系电话：18534985801
招标人或其招标代理机构主要负责人（项目负责人）：
（盖章）
招标人或其招标代理机构：
（盖章）",山西省临汾市侯马经济开发区新田路127号艺轩商务大厦(入驻临汾市侯马经济开发区艺轩企业孵化园有限公司-工位079号),,13934695003,山西权威工程咨询管理有限公司,山西综改示范区太原唐槐园区唐槐路79号兰亭国际10层1002号,,,,,,,,2026-06-22 09:50,山西省招标投标公共服务平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066572.jhtml,1066572,"100MW/321MWh独立储能项目（EPC总承包）中标结果公示
（招标编号：QWSX2604002-GC）
本 100MW/321MWh独立储能项目（EPC总承包） （招标项目编号： M1100000048005455001 ），确定001第一标段的中标人如下：
一、中标人信息：
001第一标段：  中标人：陕西华山建设集团有限公司、联合体：元工电力技术有限公司、陕西建工集团股份有限公司  中标价格：40658.170000万元
二、其他公示内容：
无
三、监督部门
本招标项目的监督部门为：侯马市能源局
联系电话：13753513868
电子邮箱：lfshmsnyj@163.com
四、联系方式
招标人：临汾市智煜新能源有限公司
地  址：山西省临汾市侯马经济开发区新田路127号艺轩商务大厦(入驻临汾市侯马经济开发区艺轩企业孵化园有限公司-工位079号)
联 系 人：刘炜
联系电话：13934695003  招标代理机构：山西权威工程咨询管理有限公司
地  址：山西综改示范区太原唐槐园区唐槐路79号兰亭国际10层1002号
联  系  人：侯小霞、韩文琦、李丹丹
联系电话：18534985801
招标人或其招标代理机构主要负责人（项目负责人）：
（盖章）
招标人或其招标代理机构：
（盖章）",,2026-06-22
,交城县污水处理厂城西扩容工程用电扩容建设项目施工中标结果公示,,,,,"交城县污水处理厂城西扩容工程用电扩容建设项目施工中标结果公示  （招标编号：
YLZX
招
[2026]002
号
）  本
交城县污水处理厂城西扩容工程用电扩容建设项目施工（招标项目编号：
M1401000155210415001
）
，确定
001
交城县污水处理厂城西扩容工程用电扩容建设项目施工
第
1
标段的中标人如下：  一、中标人信息：  001
交城县污水处理厂城西扩容工程用电扩容建设项目施工
第1标段：  中  标  人：
山西华恒宏图建设有限公司  中标价格：
4738119.04元  质  量：
合格  工  期：
30
日历天  项目经理姓名：
刘旋  相关证书名称及编号：
一级注册建造师
、
晋1142023202400107  二、其他公示内容  无  三、监督部门  本招标项目的监督部门为交城县住房和城乡建设管理局
。  四
、联系方式  招 标 人：交城县城镇污水处理有限公司  地  址：吕梁市交城县天宁镇东汾阳村南  联 系 人：任先生  联系电话：19935800020  招标代理机构：山西永利工程咨询有限公司  地  址：交城县三角村小区北侧3号门面房  联 系 人：马女士  联系电话：0358-3510033、18835809853  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",吕梁市交城县天宁镇东汾阳村南,,19935800020,山西永利工程咨询有限公司,交城县三角村小区北侧3号门面房,,,,,,,,2026-06-22 09:50,山西省招标投标公共服务平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066571.jhtml,1066571,"交城县污水处理厂城西扩容工程用电扩容建设项目施工中标结果公示  （招标编号：
YLZX
招
[2026]002
号
）  本
交城县污水处理厂城西扩容工程用电扩容建设项目施工（招标项目编号：
M1401000155210415001
）
，确定
001
交城县污水处理厂城西扩容工程用电扩容建设项目施工
第
1
标段的中标人如下：  一、中标人信息：  001
交城县污水处理厂城西扩容工程用电扩容建设项目施工
第1标段：  中  标  人：
山西华恒宏图建设有限公司  中标价格：
4738119.04元  质  量：
合格  工  期：
30
日历天  项目经理姓名：
刘旋  相关证书名称及编号：
一级注册建造师
、
晋1142023202400107  二、其他公示内容  无  三、监督部门  本招标项目的监督部门为交城县住房和城乡建设管理局
。  四
、联系方式  招 标 人：交城县城镇污水处理有限公司  地  址：吕梁市交城县天宁镇东汾阳村南  联 系 人：任先生  联系电话：19935800020  招标代理机构：山西永利工程咨询有限公司  地  址：交城县三角村小区北侧3号门面房  联 系 人：马女士  联系电话：0358-3510033、18835809853  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",,2026-06-22
,2026年文水县农村街巷提升改造项目施工,,,,,"2026年文水县农村街巷提升改造项目施工
中标结果公示
(招标项目编号: 
SS141121202605090104
)  2026年文水县农村街巷提升改造项目
施工
，确定中标
结果
如下：  一、
中标人
信息
2026年文水县农村街巷提升改造项目
施工
：
中标人：太原市政建设集团有限公司
中标价格：
31179951元；工期：150日历天；质量要求：交、竣工验收质量评定合格；
单位业绩信息：（
1）旌阳区古什路(孝感镇一罗绵路)道路改建工程一标段；（2）国道209线交口县城段公路改线工程；（3）黄辛线北延（S215）工程一标段；（4）盐湖高新技术产业园区基础设施建设项目西外环道路工程一标段；（5）临县2023年农村公路建设项目。
项目经理：侯慧君；建造师注册证书编号：晋  1142006200802984；个人业绩信息：（1）临县2023年农村公路建设项目。
项目总工：师帅平；职称证书编号：
1814000903820799；
个人业绩信息：（
1）长治市太行1号旅游公路-环漳泽湖旅游路（支线）项目。
二、其他公示内容  无
。  三、监督部门
本招标项目的监督部门：吕梁市交通运输局。
联系方式：
0358-2255625
邮箱：
11sjtjjgk@126.com
地址：吕梁市国投财经中心
C座607
四、联系方式
招  标  人：文水县交通运输局
单位地址：山西省文水县凤城镇土堂村实验北街
联  系  人：武先生  联系电话：
17582817771 
邮  箱：
llwsjtglg@163.com  招标代理机构：山西乾恒项目管理有限公司
联系地址：太原市小店区平阳景苑
5号楼1504室
联  系  人：刘先生
联系电话：
0358-8281110
邮  箱：
sxqh88@126.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",山西省文水县凤城镇土堂村实验北街,,17582817771,山西乾恒项目管理有限公司,,,0358-8281110,,,,,,2026-06-22 09:50,吕梁市公共资源交易平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066569.jhtml,1066569,"2026年文水县农村街巷提升改造项目施工
中标结果公示
(招标项目编号: 
SS141121202605090104
)  2026年文水县农村街巷提升改造项目
施工
，确定中标
结果
如下：  一、
中标人
信息
2026年文水县农村街巷提升改造项目
施工
：
中标人：太原市政建设集团有限公司
中标价格：
31179951元；工期：150日历天；质量要求：交、竣工验收质量评定合格；
单位业绩信息：（
1）旌阳区古什路(孝感镇一罗绵路)道路改建工程一标段；（2）国道209线交口县城段公路改线工程；（3）黄辛线北延（S215）工程一标段；（4）盐湖高新技术产业园区基础设施建设项目西外环道路工程一标段；（5）临县2023年农村公路建设项目。
项目经理：侯慧君；建造师注册证书编号：晋  1142006200802984；个人业绩信息：（1）临县2023年农村公路建设项目。
项目总工：师帅平；职称证书编号：
1814000903820799；
个人业绩信息：（
1）长治市太行1号旅游公路-环漳泽湖旅游路（支线）项目。
二、其他公示内容  无
。  三、监督部门
本招标项目的监督部门：吕梁市交通运输局。
联系方式：
0358-2255625
邮箱：
11sjtjjgk@126.com
地址：吕梁市国投财经中心
C座607
四、联系方式
招  标  人：文水县交通运输局
单位地址：山西省文水县凤城镇土堂村实验北街
联  系  人：武先生  联系电话：
17582817771 
邮  箱：
llwsjtglg@163.com  招标代理机构：山西乾恒项目管理有限公司
联系地址：太原市小店区平阳景苑
5号楼1504室
联  系  人：刘先生
联系电话：
0358-8281110
邮  箱：
sxqh88@126.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",,2026-06-22
,2026年文水县四好农村路建设项目（一期）,,,,,"2026年文水县四好农村路建设项目（一期）
施工
中标结果公示  （项目编号：
SS141100202605220106
）
2026年文水县四好农村路建设项目（一期）
施工
（招标项目编号：
SS141100202605220106
），确定
2026年文水县四好农村路建设项目（一期）
施工
的中标人如下：
一、中标人信息：
中标人：
山西嘉隆达公路工程有限公司
中标价格：
14906418.00
元
工期：
150
日历天
质量要求：标段工程交工验收的质量评定：合格；标段工程竣工验收的质量评定：合格。
安全目标：严格遵守国家和山西省有关安全生产管理的各项规定，杜绝重特大事故，遏制较大事故，减少  一般事故。
项目
经理：
石建鹏
建造师证书注册编号：
晋
2142012201330018
项目总工：
张文娟
工程师证书编号：
082305318005
二、其他公示内容：
无
三、监督部门
本招标项目的监督部门：吕梁市交通运输局
联系方式：
0358-2255625
邮箱：
llsjtjjgk@126.com
地址：山西省吕梁市离石区国投财经中心
C
座
607
四、联系方式
招标人：
文水县交通运输局
地址：
山西省文水县凤城镇土堂村实验北街
联系人：
武洋
电话：
0358-3069573
招标代理机构：
坤泰（山西）项目管理有限公司
地址：山西转型综合改革示范区学府产业园发展路
5号鼎晨时代广场6层
联系人：王晋追
电话：
1913565013
9
邮箱：
sxkuntai@163.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）
招标人或其招标代理机构：  （
盖章
）",山西省文水县凤城镇土堂村实验北街,武洋,0358-3069573,项目管理有限公司,,王晋追,,,,,,,2026-06-22 09:35,吕梁市公共资源交易平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066557.jhtml,1066557,"2026年文水县四好农村路建设项目（一期）
施工
中标结果公示  （项目编号：
SS141100202605220106
）
2026年文水县四好农村路建设项目（一期）
施工
（招标项目编号：
SS141100202605220106
），确定
2026年文水县四好农村路建设项目（一期）
施工
的中标人如下：
一、中标人信息：
中标人：
山西嘉隆达公路工程有限公司
中标价格：
14906418.00
元
工期：
150
日历天
质量要求：标段工程交工验收的质量评定：合格；标段工程竣工验收的质量评定：合格。
安全目标：严格遵守国家和山西省有关安全生产管理的各项规定，杜绝重特大事故，遏制较大事故，减少  一般事故。
项目
经理：
石建鹏
建造师证书注册编号：
晋
2142012201330018
项目总工：
张文娟
工程师证书编号：
082305318005
二、其他公示内容：
无
三、监督部门
本招标项目的监督部门：吕梁市交通运输局
联系方式：
0358-2255625
邮箱：
llsjtjjgk@126.com
地址：山西省吕梁市离石区国投财经中心
C
座
607
四、联系方式
招标人：
文水县交通运输局
地址：
山西省文水县凤城镇土堂村实验北街
联系人：
武洋
电话：
0358-3069573
招标代理机构：
坤泰（山西）项目管理有限公司
地址：山西转型综合改革示范区学府产业园发展路
5号鼎晨时代广场6层
联系人：王晋追
电话：
1913565013
9
邮箱：
sxkuntai@163.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）
招标人或其招标代理机构：  （
盖章
）",,2026-06-22
,大同市云州区城市地下管网及设施建设改造项目施工(2标段)中标结果公示,,,,,"大同市云州区城市地下管网及设施建设改造项目施工(2标段)中标结果公示

（招标编号：E14020000G3001405009）

本大同市云州区城市地下管网及设施建设改造项目施工（招标项目编号：E14020000G3001405009），确定002大同市云州区城市地下管网及设施建设改造项目施工第二标段的中标人如下：

一、中标人信息

002大同市云州区城市地下管网及设施建设改造项目施工第二标段：

中标人: 
大同市翔远建安工程有限责任公司;  中标价格:（  投标总报价:21274150.12  元  ;  ）  二、其他公示内容  无  三、监督部门

本招标项目的监督部门为大同市云州区住房和城乡建设局。

四、联系方式

招 标 人: 
大同市云州区公用事业服务中心（大同市云州区节水用水事务中心）

地 址: 
大同市云州区平邑西街平邑市场院内

联 系 人: 
赵鹏

电 话: 
15935201501

电子邮件: 
yzqgyzx@163.com

招标代理机构: 
山西凌智项目管理有限公司

地 址: 
山西省大同市平城区南环东路与文兴路交叉口万达广场对面绿地缤纷汇8号楼9层18号

联 系 人: 
翟智

电 话: 
18335257779

电子邮件: 
871242629@qq.com

招标人或招标代理机构主要负责人（项目负责人）: 
（签章）

招标人或招标代理机构: 
（签章）",大同市云州区平邑西街平邑市场院内,赵鹏,15935201501,山西凌智项目管理有限公司,山西省大同市平城区南环东路与文兴路交叉口万达广场对面绿地缤纷汇8号楼9层18号,翟智,18335257779,,,,,,2026-06-22 09:35,大同市公共资源交易平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066556.jhtml,1066556,"大同市云州区城市地下管网及设施建设改造项目施工(2标段)中标结果公示

（招标编号：E14020000G3001405009）

本大同市云州区城市地下管网及设施建设改造项目施工（招标项目编号：E14020000G3001405009），确定002大同市云州区城市地下管网及设施建设改造项目施工第二标段的中标人如下：

一、中标人信息

002大同市云州区城市地下管网及设施建设改造项目施工第二标段：

中标人: 
大同市翔远建安工程有限责任公司;  中标价格:（  投标总报价:21274150.12  元  ;  ）  二、其他公示内容  无  三、监督部门

本招标项目的监督部门为大同市云州区住房和城乡建设局。

四、联系方式

招 标 人: 
大同市云州区公用事业服务中心（大同市云州区节水用水事务中心）

地 址: 
大同市云州区平邑西街平邑市场院内

联 系 人: 
赵鹏

电 话: 
15935201501

电子邮件: 
yzqgyzx@163.com

招标代理机构: 
山西凌智项目管理有限公司

地 址: 
山西省大同市平城区南环东路与文兴路交叉口万达广场对面绿地缤纷汇8号楼9层18号

联 系 人: 
翟智

电 话: 
18335257779

电子邮件: 
871242629@qq.com

招标人或招标代理机构主要负责人（项目负责人）: 
（签章）

招标人或招标代理机构: 
（签章）",,2026-06-22
,大同市云州区城市地下管网及设施建设改造项目施工(3标段)中标结果公示,,,,,"大同市云州区城市地下管网及设施建设改造项目施工(3标段)中标结果公示

（招标编号：E14020000G3001405009）

本大同市云州区城市地下管网及设施建设改造项目施工（招标项目编号：E14020000G3001405009），确定003大同市云州区城市地下管网及设施建设改造项目施工第三标段的中标人如下：

一、中标人信息

003大同市云州区城市地下管网及设施建设改造项目施工第三标段：

中标人: 
山西盛泽吉源建设有限公司;  中标价格:（  投标总报价:3159216.70  元  ;  ）  二、其他公示内容  无  三、监督部门

本招标项目的监督部门为大同市云州区住房和城乡建设局。

四、联系方式

招 标 人: 
大同市云州区公用事业服务中心（大同市云州区节水用水事务中心）

地 址: 
大同市云州区平邑西街平邑市场院内

联 系 人: 
赵鹏

电 话: 
15935201501

电子邮件: 
yzqgyzx@163.com

招标代理机构: 
山西凌智项目管理有限公司

地 址: 
山西省大同市平城区南环东路与文兴路交叉口万达广场对面绿地缤纷汇8号楼9层18号

联 系 人: 
翟智

电 话: 
18335257779

电子邮件: 
871242629@qq.com

招标人或招标代理机构主要负责人（项目负责人）: 
（签章）

招标人或招标代理机构: 
（签章）",大同市云州区平邑西街平邑市场院内,赵鹏,15935201501,山西凌智项目管理有限公司,山西省大同市平城区南环东路与文兴路交叉口万达广场对面绿地缤纷汇8号楼9层18号,翟智,18335257779,,,,,,2026-06-22 09:35,大同市公共资源交易平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066555.jhtml,1066555,"大同市云州区城市地下管网及设施建设改造项目施工(3标段)中标结果公示

（招标编号：E14020000G3001405009）

本大同市云州区城市地下管网及设施建设改造项目施工（招标项目编号：E14020000G3001405009），确定003大同市云州区城市地下管网及设施建设改造项目施工第三标段的中标人如下：

一、中标人信息

003大同市云州区城市地下管网及设施建设改造项目施工第三标段：

中标人: 
山西盛泽吉源建设有限公司;  中标价格:（  投标总报价:3159216.70  元  ;  ）  二、其他公示内容  无  三、监督部门

本招标项目的监督部门为大同市云州区住房和城乡建设局。

四、联系方式

招 标 人: 
大同市云州区公用事业服务中心（大同市云州区节水用水事务中心）

地 址: 
大同市云州区平邑西街平邑市场院内

联 系 人: 
赵鹏

电 话: 
15935201501

电子邮件: 
yzqgyzx@163.com

招标代理机构: 
山西凌智项目管理有限公司

地 址: 
山西省大同市平城区南环东路与文兴路交叉口万达广场对面绿地缤纷汇8号楼9层18号

联 系 人: 
翟智

电 话: 
18335257779

电子邮件: 
871242629@qq.com

招标人或招标代理机构主要负责人（项目负责人）: 
（签章）

招标人或招标代理机构: 
（签章）",,2026-06-22
,山西省阳泉第一监狱改扩建项目综合管理楼配楼一、综合管理楼配楼二工程施工,,,,,"山西省阳泉第一监狱改扩建项目综合管理楼配楼一、综合管理楼配楼二工程施工
中标结果公示
（
招标编号：
SXFYSC-GC-2026-0
4
）  本
山西省阳泉第一监狱改扩建项目综合管理楼配楼一、综合管理楼配楼二工程施工
（招标项目编号：
2026GC010066），
确定
山西省阳泉第一监狱改扩建项目综合管理楼配楼一、综合管理楼配楼二工程施工
的
中标人如下：  一、
中标人信息：
山西省阳泉第一监狱改扩建项目综合管理楼配楼一、综合管理楼配楼二工程施工：
中  标  人：山西二建集团有限公司
中标价格：
26980430.19元
工  期：
210日历天
质量标准：合格
项目经理（注册建造师）：张鹏
二、
其他公示内容：  本次中标
结果
公示同时在《山西省招标投标公共服务平台》、《全国公共资源交易平台（山西省
•阳泉市）》上发布。
三、监督部门
本招标项目的监督部门为阳泉市住房和城乡建设局。
联系电话：
0353-6668026/6668205
电子邮箱：
jgzx8210@163.com  四
、联系方式
招标人（项目建设单位）：山西省阳泉第一监狱
联  系  人：王顺光
电  话：
0353-4263585  招标代理机构：山西方圆项目管理有限公司
地  址：阳泉高新技术产业开发区新泉北路联丰大厦
C座9层
联  系  人：陈志强  杨军  商瑜
电  话：
18603538237  18535369981  18235391118  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",,,,山西方圆项目管理有限公司,,,,,,,,,2026-06-22 09:20,阳泉市公共资源交易平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066550.jhtml,1066550,"山西省阳泉第一监狱改扩建项目综合管理楼配楼一、综合管理楼配楼二工程施工
中标结果公示
（
招标编号：
SXFYSC-GC-2026-0
4
）  本
山西省阳泉第一监狱改扩建项目综合管理楼配楼一、综合管理楼配楼二工程施工
（招标项目编号：
2026GC010066），
确定
山西省阳泉第一监狱改扩建项目综合管理楼配楼一、综合管理楼配楼二工程施工
的
中标人如下：  一、
中标人信息：
山西省阳泉第一监狱改扩建项目综合管理楼配楼一、综合管理楼配楼二工程施工：
中  标  人：山西二建集团有限公司
中标价格：
26980430.19元
工  期：
210日历天
质量标准：合格
项目经理（注册建造师）：张鹏
二、
其他公示内容：  本次中标
结果
公示同时在《山西省招标投标公共服务平台》、《全国公共资源交易平台（山西省
•阳泉市）》上发布。
三、监督部门
本招标项目的监督部门为阳泉市住房和城乡建设局。
联系电话：
0353-6668026/6668205
电子邮箱：
jgzx8210@163.com  四
、联系方式
招标人（项目建设单位）：山西省阳泉第一监狱
联  系  人：王顺光
电  话：
0353-4263585  招标代理机构：山西方圆项目管理有限公司
地  址：阳泉高新技术产业开发区新泉北路联丰大厦
C座9层
联  系  人：陈志强  杨军  商瑜
电  话：
18603538237  18535369981  18235391118  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",,2026-06-22
